Title,Kaltmiete zzgl. Nebenkosten (€/month),Warmmiete (€/month),Nebenkosten (€/month),Heizkosten_1 (€/month),Heizkosten_2 (€/month),Miete pro Stellplatz (€/month),Rooms_number,Surface Area (m^2),Floor,Zip Code,pics_number,energy_efficiency,Year of Construction,Condition,Price per sqm,Real Estate 3,Bezirk,Multiple floors,Deposit,lim_inhabitants,balcony,furnished,garden,Terrasse,pets_allowed,Garage,shower,bath,Einbaukueche,kitchenette,lift,open kitchen,basement,window in bathroom,WG-geeignet,Wohnen auf Zeit in title,nur mit Wohnberechtigungsschein in title,availability_date,days_until_available,Heating_Elektro,Heating_Fernwaerme,Heating_Gas,Heating_Oel,Heating_Luft-/Wasser-Waermepumpe,Heating_Blockheizkraftwerk,Heating_Solar,Heating_Erdwaerme,Heatingsys_Zentralheizung,Heatingsys_Fussbodenheizung,Heatingsys_Etagenheizung,time_lim (in months),accessible,Floor_cov_Parkett,Floor_cov_Fliesen,Floor_cov_Laminat,Floor_cov_Holzdielen,Floor_cov_Kunststoff,Floor_cov_Linoleum,Floor_cov_Stein,district_name
Wohnung zur Miete,2850.0,3235.0,198.0,,187.0,,3.0,113.0,5.0,10711,13.0,,Neubau,Erstbezug,25.05,other,Charlottenburg-Wilmersdorf,False,,False,True,False,False,False,False,False,True,True,True,False,True,False,True,False,False,False,False,2025-02-12,0.0,False,False,False,False,False,False,False,False,False,False,False,,False,True,False,False,False,False,False,False,Halensee
Wohnung zur Miete,,1490.0,,,,,2.0,35.0,2.0,10409,14.0,,,,42.57142857142857,HOMELIKE INTERNET GmbH,Pankow,False,2000.0,True,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False,True,False,2025-05-05,82.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,Prenzlauer Berg
Studio zur Miete,953.0,1093.0,84.0,,56.0,,2.0,39.0,,13587,34.0,2.0,Neubau,neuwertig,24.21,Stuck Immobilien Consult UG (haftungsbeschränkt),Spandau,False,2859.0,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,2025-02-12,0.0,False,False,True,False,False,False,False,False,True,True,False,,False,True,False,False,False,False,False,False,Hakenfelde
Wohnung zur Miete,1094.28,1357.02,171.0,,91.0,,2.0,61.0,4.0,13409,10.0,1.0,Neubau,,17.89,Gewobag Wohnungsbau  Aktiengesellschaft Berlin,Mitte,False,3282.84,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,2025-02-12,0.0,False,False,False,False,False,True,False,False,True,False,False,,False,False,False,False,False,False,False,False,Reinickendorf
Wohnung zur Miete,3166.14,4066.14,900.0,in Warmmiete enthalten,,,4.0,190.0,2.0,10178,9.0,,Neubau,neuwertig,16.63,reco Immobilienbüro Petra Hubertus,Friedrichshain-Kreuzberg,False,9498.42,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,2025-02-12,0.0,False,True,False,False,False,False,False,False,True,False,False,,True,False,False,False,False,False,False,False,Mitte
Wohnung zur Miete,,2750.0,,,,,2.0,75.0,3.0,10249,14.0,,,,36.66666666666666,HOMELIKE INTERNET GmbH,Friedrichshain-Kreuzberg,False,5000.0,True,False,True,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,2025-05-07,84.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,Friedrichshain
Wohnung zur Miete,2615.0,2820.0,510.0,in Nebenkosten enthalten,,,2.0,138.0,7.0,10117,30.0,5.0,,neuwertig,18.95,Ukio Germany,Mitte,False,2000.0,False,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,2025-02-12,0.0,True,False,False,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,Mitte
Wohnung zur Miete,1480.0,1769.0,289.0,in Warmmiete enthalten,,,2.0,61.0,1.0,12555,21.0,,Neubau,Erstbezug,24.19,other,Marzahn-Hellersdorf,False,4440.0,False,True,False,False,False,False,False,True,False,True,False,True,True,True,True,False,False,False,2025-02-12,0.0,False,False,False,False,False,False,False,False,True,True,False,,False,False,False,False,False,False,False,False,Köpenick
Wohnung zur Miete,771.3,1188.3,199.0,,218.0,,2.0,84.0,6.0,12107,8.0,5.0,Neubau,,9.13,Gewobag Wohnungsbau  Aktiengesellschaft Berlin,Neukölln,False,2313.9,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,2025-02-12,0.0,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,Mariendorf
Studio zur Miete,1145.0,1420.0,275.0,in Nebenkosten enthalten,,,1.0,45.0,1.0,10439,23.0,,,neuwertig,25.44,Ukio Germany,Pankow,False,2000.0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,2025-02-12,0.0,True,False,False,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,Prenzlauer Berg
Wohnung zur Miete,1900.0,2250.0,,,350.0,,4.0,106.0,1.0,13503,20.0,4.0,Neubau,neuwertig,17.92,other,Reinickendorf,False,5700.0,False,True,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,2025-02-12,0.0,False,False,False,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,Heiligensee
