Title,Kaltmiete zzgl. Nebenkosten,Warmmiete,Nebenkosten,Heizkosten_1,Heizkosten_2,Miete pro Stellplatz,Rooms_number,Surface Area,Floor,availability,Zip Code,Additional Price Info,pics_number,energy_efficiency,Year of Construction,Condition,Heating type,Heating system,Price per sqm,Caution 1,Caution 2,Merkmale_1,Merkmale_2,Merkmale_3,Merkmale_4,Merkmale_5,Merkmale_6,Merkmale_7,Merkmale_8
Wohnung zur Miete,922 €,1.120 €,84 €,,114 €114 €,,2,56 m²,5.,01.03.2025,12557,,1 / 20,A,2020.0,"Neubau, neuwertig",Blockheizkraftwerk,Fußbodenheizung,"16,46 Euro pro Quadratmeter",3 Kaltmieten,,Personenaufzug,frei ab 01.03.2025,Balkon,Tiefgarage,Kelleranteil,5. Geschoss,Badewanne,Bodenbelag: Laminat
Wohnung zur Miete · Wohnen auf Zeit,,2.890 €/Monat,,,,,4,79 m²,,01.05.2025,14059,,1 / 16,,,,,,,"2.890,00",,"Einbauküche, Kochnische",frei ab 01.05.2025,Haustiere erlaubt,möbliert,3. Geschoss,"Badezimmer: Badewanne, Bad mit Dusche",max. 5 Personen,
Wohnung zur Miete,1.350 €,1.570 €,220 €,in Warmmiete enthalten,,130 €130 €,2,"61,9 m²",1.,01.03.2025,12159,,1 / 15,B,2025.0,"Neubau, Erstbezug",Fernwärme,,"21,80 Euro pro Quadratmeter",,4.050 €,Einbauküche,Personenaufzug,frei ab 01.03.2025,Balkon,Außen-Stellplatz,Kelleranteil,1. Geschoss,Barrierefrei
Wohnung zur Miete · Wohnen auf Zeit,,1.295 €/Monat,,,,,1,26 m²,,16.08.2025,10249,,1 / 7,C,2023.0,neuwertig,Fernwärme,Fußbodenheizung,,1.295 €,,Einbauküche,Personenaufzug,frei ab 16.08.2025,Balkon,möbliert,3. Geschoss,Barrierefrei,Bad mit Dusche
Wohnung zur Miete,,"5.092,13 €","683,74 €",in Warmmiete enthalten,,,5,"186,9 m²",,Baujahr,13086,"Nettokaltmiete: 4.408,39 EUR",1 / 10,,1907.0,"Altbau (bis 1945), renoviert / saniert",Gas,Zentralheizung,"23,58 Euro pro Quadratmeter","13.225,17",,Einbauküche,Personenaufzug,sofort,Garten,Terrasse,,,
Wohnung zur Miete · Wohnen auf Zeit,,944 €/Monat,,,,,1,27 m²,,11.02.2025,10557,,1 / 17,,,,,,,"1.124,00",,"Einbauküche, Kochnische",frei ab 11.02.2025,möbliert,3. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete,,,,,98 €98 €,,3,72 m²,2.,ab sofort,10551,,1 / 9,G,1901.0,Altbau (bis 1945),,Etagenheizung,15 Euro pro Quadratmeter,,2.356 €,Einbauküche,sofort,teilweise möbliert,2. Geschoss,"Badezimmer: Bad mit Dusche, Bad mit Fenster","Bodenbelag: Fliesen, Holzdielen, Parkett",Fenster: Holz,
Studio zur Miete,1.435 €,1.720 €,285 €,in Nebenkosten enthalten,,,2,50 m²,3.,Zustand der Immobilie,10965,,1 / 23,,,renoviert / saniert,Elektro,Zentralheizung,"28,70 Euro pro Quadratmeter",,2.000 €,Einbauküche,sofort,Haustiere erlaubt,möbliert,3. Geschoss,,,
Studio zur Miete,625 €,780 €,160 €,in Nebenkosten enthalten,,120 €120 €,1,"20,5 m²",5.,01.05.2025,13355,,1 / 4,B,2017.0,Neubau,Fernwärme,Zentralheizung,"30,49 Euro pro Quadratmeter",3 Monatsmieten,,Kochnische,DSL-Anschluss,Personenaufzug,frei ab 01.05.2025,Tiefgarage,Kelleranteil,möbliert,5. Geschoss
Penthouse zur Miete,"1.401,48 €","1.744,46 €","208,36 €",,"134.62 €134,62 €",100 €100 €,2,"77,9 m²",6.,Baujahr,10715,,1 / 41,E,1994.0,Neubau,Gas,Zentralheizung,"22,41 Euro pro Quadratmeter","2 Monatskaltmieten ohne Duplex-Garage = € 2.802,96",,Einbauküche,DSL-Anschluss,Personenaufzug,1994,Terrasse,Haustiere erlaubt,Duplex-Stellplatz,6. Geschoss
Wohnung zur Miete,2.060 €,2.390 €,325 €,in Nebenkosten enthalten,,,2,54 m²,5.,ab sofort,10179,,1 / 24,,2020.0,Neubau,"Fernwärme, Luft-/Wasser-Wärmepumpe",Fußbodenheizung,"38,15 Euro pro Quadratmeter",,2.000 €,Einbauküche,Personenaufzug,Frei ab sofort,Balkon,Haustiere erlaubt,möbliert,5. Geschoss,
Studio zur Miete,2.190 €,2.904 €,714 €,in Nebenkosten enthalten,,,4,150 m²,1.,Zustand der Immobilie,10997,,1 / 26,,,renoviert / saniert,Elektro,Zentralheizung,"14,60 Euro pro Quadratmeter",,2.000 €,Einbauküche,sofort,Balkon,möbliert,1. Geschoss,,,
Wohnung zur Miete,2.303 €,2.921 €,619 €,in Nebenkosten enthalten,,192 €192 €,3,"132,9 m²",7.,ab sofort,10785,,1 / 14,G,1998.0,renoviert / saniert,Fernwärme,Zentralheizung,"17,33 Euro pro Quadratmeter","6.909,00",,Einbauküche,DSL-Anschluss,Personenaufzug,Frei ab sofort,Balkon,Haustiere erlaubt,Tiefgarage,7. Geschoss
Wohnung zur Miete,,1.800 €,,in Nebenkosten enthalten,,,3,81 m²,EG,Baujahr,13505,,1 / 7,,1938.0,,Gas,,"16,05 Euro pro Quadratmeter",1300 (1 Kaltmiete),,Kein Personenaufzug,voll unterkellert,möbliert,Erdgeschoss,Nicht barrierefrei,,,
Wohnung zur Miete · Wohnen auf Zeit,,1.730 €/Monat,,,,,1,48 m²,,02.05.2025,10245,,1 / 12,,,,,,,"1.617,00",,"Einbauküche, Offene Küche",frei ab 02.05.2025,Haustiere erlaubt,möbliert,2. Geschoss,Bad mit Dusche,max. 2 Personen,
Studio zur Miete,2.500 €,2.995 €,495 €,in Nebenkosten enthalten,,,3,60 m²,6.,Zustand der Immobilie,10783,,1 / 22,,,renoviert / saniert,Elektro,Zentralheizung,"41,67 Euro pro Quadratmeter",,2.000 €,Einbauküche,Personenaufzug,sofort,Haustiere erlaubt,möbliert,6. Geschoss,,
Wohnung zur Miete,,,198 €,,187 €187 €,,3,"113,8 m²",5.,Baujahr,10711,,1 / 13,,2024.0,Erstbezug,,,"25,05 Euro pro Quadratmeter",keine Angabe,,Einbauküche,Personenaufzug,sofort,Balkon,Kelleranteil,5. Geschoss,"Badezimmer: Badewanne, Bad mit Dusche",Bodenbelag: Parkett
Wohnung zur Miete · Wohnen auf Zeit,,1.490 €/Monat,,,,,2,35 m²,,05.05.2025,10409,,1 / 14,,,,,,,"2.000,00",,"Einbauküche, Kochnische",frei ab 05.05.2025,möbliert,2. Geschoss,"Badezimmer: Badewanne, Bad mit Dusche",max. 2 Personen,,
Studio zur Miete,953 €,1.093 €,84 €,,56 €56 €,,2,"39,4 m²",,Baujahr,13587,,1 / 34,B,2024.0,"Neubau, neuwertig",Gas,Zentralheizung: Fußbodenheizung,"24,21 Euro pro Quadratmeter",,2.859 €,Einbauküche,Personenaufzug,2025,Balkon,Bad mit Dusche,Bodenbelag: Parkett,Loggia,Fenster: Aluminium
Wohnung zur Miete,,"1.357,02 €",171 €,,"91.74 €91,74 €",,2,"61,2 m²",4.,ab sofort,13409,"Nettokaltmiete: 1.094,28 EUR",1 / 10,A,2016.0,,Blockheizkraftwerk,Zentralheizung,"17,89 Euro pro Quadratmeter","3282,84  €",,Personenaufzug,Frei ab sofort,Balkon,Haustiere erlaubt,Kelleranteil,4. Geschoss,,
Studio zur Miete,,715 €,70 €,in Warmmiete enthalten,,,1,"11,9 m²",5.,01.05.2025,12459,"Nettokaltmiete: 600,00 EUR",1 / 10,,2018.0,,,Etagenheizung,"50,42 Euro pro Quadratmeter","1.800,00",,Einbauküche,"Personenaufzug, Lastenaufzug",frei ab 01.05.2025,5. Geschoss,Bad mit Dusche,max. 1 Person,6 Monate,
